timestamp_ms,track_id,class,x_min,y_min,x_max,y_max
0.0,1,car,832,1836,1079,1918
0.0,2,car,1,1806,87,1919
0.0,3,bus,585,940,720,1090
0.0,4,car,278,1051,370,1151
0.0,5,car,350,1274,519,1486
0.0,6,bus,2,1303,227,1658
0.0,7,car,708,1443,984,1799
0.0,8,car,260,1454,520,1858
0.0,9,car,384,1151,510,1279
0.0,10,truck,707,1444,986,1798
0.0,11,car,414,1054,511,1154
0.0,12,truck,1,1304,227,1658
0.0,13,car,316,990,397,1062
0.0,14,car,466,1013,541,1084
0.0,15,bus,259,1454,519,1859
0.0,16,truck,647,1251,809,1443
0.0,17,car,142,1139,310,1325
33.36666666666667,1,car,834,1836,1079,1919
33.36666666666667,2,car,1,1808,86,1919
33.36666666666667,3,bus,585,941,721,1090
33.36666666666667,4,car,277,1052,370,1152
33.36666666666667,5,car,350,1276,519,1486
33.36666666666667,6,bus,1,1305,226,1661
33.36666666666667,7,car,708,1444,983,1800
33.36666666666667,8,car,259,1455,521,1858
33.36666666666667,9,car,385,1151,510,1276
33.36666666666667,10,truck,707,1445,985,1799
33.36666666666667,11,car,415,1055,511,1153
33.36666666666667,12,truck,1,1307,227,1661
33.36666666666667,13,car,317,987,398,1064
33.36666666666667,14,car,466,1012,542,1086
33.36666666666667,15,bus,259,1455,519,1859
33.36666666666667,16,truck,647,1251,810,1443
33.36666666666667,17,truck,141,1133,311,1324
66.73333333333333,1,car,834,1836,1078,1918
66.73333333333333,2,car,1,1809,86,1919
66.73333333333333,3,bus,584,941,721,1090
66.73333333333333,4,car,277,1052,370,1154
66.73333333333333,5,car,350,1276,517,1486
66.73333333333333,6,bus,1,1307,226,1663
66.73333333333333,7,car,708,1444,983,1800
66.73333333333333,8,car,258,1457,520,1857
66.73333333333333,9,car,387,1158,507,1275
66.73333333333333,10,truck,707,1445,985,1799
66.73333333333333,11,car,414,1055,510,1151
66.73333333333333,12,truck,1,1309,226,1662
66.73333333333333,13,car,316,988,397,1066
66.73333333333333,14,car,465,1012,541,1085
66.73333333333333,15,bus,258,1456,518,1859
66.73333333333333,16,truck,646,1251,810,1442
66.73333333333333,17,car,141,1135,310,1325
100.10000000000001,1,car,834,1837,1079,1919
100.10000000000001,2,car,1,1809,86,1919
100.10000000000001,3,bus,584,942,722,1090
100.10000000000001,4,car,277,1053,369,1155
100.10000000000001,5,car,351,1276,519,1486
100.10000000000001,6,bus,1,1309,226,1667
100.10000000000001,7,car,709,1444,983,1801
100.10000000000001,8,car,258,1457,520,1858
100.10000000000001,9,car,383,1151,509,1292
100.10000000000001,10,truck,707,1445,986,1799
100.10000000000001,11,car,415,1055,511,1151
100.10000000000001,12,truck,1,1310,226,1665
100.10000000000001,13,car,316,993,396,1068
100.10000000000001,14,car,463,1011,542,1088
100.10000000000001,16,car,647,1251,809,1443
100.10000000000001,17,car,142,1136,310,1325
133.46666666666667,1,car,834,1838,1078,1919
133.46666666666667,2,car,0,1811,87,1919
133.46666666666667,3,bus,584,942,723,1100
133.46666666666667,4,car,275,1054,367,1155
133.46666666666667,5,car,351,1275,520,1488
133.46666666666667,6,bus,1,1312,225,1671
133.46666666666667,7,car,708,1444,983,1801
133.46666666666667,8,car,258,1458,521,1859
133.46666666666667,9,car,382,1148,511,1290
133.46666666666667,10,truck,707,1446,986,1799
133.46666666666667,11,car,414,1055,512,1156
133.46666666666667,12,truck,1,1313,225,1669
133.46666666666667,13,car,316,993,397,1071
133.46666666666667,14,car,462,1010,543,1092
133.46666666666667,16,car,647,1250,809,1444
133.46666666666667,17,car,157,1144,307,1325
166.83333333333334,1,car,833,1838,1078,1919
166.83333333333334,2,car,0,1811,87,1919
166.83333333333334,3,bus,584,942,722,1096
166.83333333333334,4,car,276,1055,367,1154
166.83333333333334,5,car,351,1277,521,1489
166.83333333333334,6,bus,2,1314,225,1674
